components/c-05/title/,Global Exception Handler
components/c-05/body/,"The Global Exception Handler is a type of workflow designed to determine the project’s behavior when encountering an execution error. Only one Global Exception Handler can be added per automation project. <br><br>Note that the Global Exception Handler is not available for library projects, only processes."
components/c-05/instruction/,Use the ActivityInfo property for errorInfo to get the name of the activity which threw the exception and view it in the Output panel.
components/c-45/body/,"The Global Exception Handler has two arguments, that should not be removed.<br><br>The first argument is <strong>errorInfo</strong> with the In direction and it stores information about the error that was thrown and the workflow that failed. The level of the error to be logged can be set in the Log Message activity.<br><br><Strong>Please note that any workflow may be flagged as a Global Exception Handler in Studio, except for library projects.</strong><br><br>The second argument, <strong>result</strong> has the Out direction and it is used for determining the next behavior of the process when it encounters an error. The following values can be assigned to the result argument:"
components/c-45/_items/0/title/,Continue
components/c-45/_items/0/body/,"When an error is encountered, the execution runs the Global Exception Handler and re-throws the error."
components/c-45/_items/1/title/,Ignore
components/c-45/_items/1/body/,"The execution runs the Global Handler, ignores the error, and continues from the next activity after the one which threw the exception."
components/c-45/_items/2/title/,Retry
components/c-45/_items/2/body/,The execution runs the Global Handler and attempts to retry executing the activity which threw the error. Use the RetryCount method for errorInfo to count the number of times the activity is retried.
components/c-45/_items/3/title/,Abort
components/c-45/_items/3/body/,The execution stops upon encountering the error and the Global Handler doesn't step in.
components/c-15/body/,"When an exception is detected during debugging, the activity which faulted is highlighted, the execution stops, and the pop-up Runtime Execution Error message appears. The available options are:"
components/c-15/instruction/,"Please note that any workflow may be flagged as a Global Exception Handler in Studio, except for library projects."
components/c-15/_items/0/title/,Break
components/c-15/_items/0/body/,"It keeps the workflow in the pause state, allowing you to inspect each activity and the variables or arguments in the Locals panel."
components/c-15/_items/1/title/,Retry
components/c-15/_items/1/body/,"Attempts to execute the current activity again and if the exception is detected again, the Runtime Execution Error message appears."
components/c-15/_items/2/title/,Ignore
components/c-15/_items/2/body/,Ignores the activity that caused the error and continues the execution from the next activity.
components/c-15/_items/3/title/,Continue
components/c-15/_items/3/body/,Runs the GlobalHandler.xaml and takes into consideration the behavior previously set in the Global Exception Handler in case an exception occurs.
components/c-25/title/,Graphic
components/c-25/_graphic/alt/,Runtime execution error
components/c-40/title/,Example of using the Global Exception Handler
components/c-40/displayTitle/,Example of using the Global Exception Handler
components/c-40/body/,Video description to be updated soon.
components/c-40/instruction/,Select the play button to start the video.
components/c-40/_transcript/inlineTranscriptButton/,Transcript
components/c-40/_transcript/inlineTranscriptCloseButton/,Close Transcript
components/c-40/_transcript/inlineTranscriptBody/,Transcript body text should go here
components/c-40/_transcript/transcriptLinkButton/,Transcript
components/c-20/title/,c-20
components/c-60/title/,Multiple Choice Question
components/c-60/displayTitle/,Multiple Choice Question
components/c-60/body/,In what year was the first recorded instance of a large scale assessment that consists solely of multiple choice questions?
components/c-60/instruction/,Choose one or more options and select Submit.
components/c-60/_items/0/text/,1917
components/c-60/_items/1/text/,1888
components/c-60/_items/2/text/,1953
components/c-60/_items/3/text/,1977
components/c-60/_feedback/title/,Feedback
components/c-60/_feedback/correct/,"Correct feedback text.<br><br>That’s correct. The first large assessment to consist solely of the multiple choice question type was the Army Alpha test, used from <strong>1917</strong> to evaluate U.S. military recruits in the First World War.<br><br>Source: <a href='http://en.wikipedia.org/wiki/Multiple_choice' target='_blank'>Wikipedia</a><br><br><em>Component facts: <strong>Multiple Choice Questions (or MCQs)</strong> are a tried and tested method for presenting learners with a simple text-based question. Component is either single or spanned.</em>"
components/c-60/_feedback/_incorrect/final/,"Incorrect feedback text.<br><br>That’s not right. The first large assessment to consist solely of the multiple choice question type was the Army Alpha test, used from <strong>1917</strong> to evaluate U.S. military recruits in the First World War.<br><br>Source: <a href='http://en.wikipedia.org/wiki/Multiple_choice' target='_blank'>Wikipedia</a><br><br><em>Component facts: <strong>Multiple Choice Questions (or MCQs)</strong> are a tried and tested method for presenting learners with a simple text-based question. Component is either single or spanned.</em>"
components/c-62/title/,c-62
components/c-62/_graphic/alt/,Placeholder graphic.
components/c-65/title/,Graphical Multiple Choice Question
components/c-65/displayTitle/,Graphical Multiple Choice Question
components/c-65/body/,This is a replaced question.
components/c-65/instruction/,Choose option 2 and select Submit.
components/c-65/_items/0/text/,This is the new Option 1
components/c-65/_items/0/_graphic/alt/,Placeholder graphic.
components/c-65/_items/1/text/,This is the new Option 2
components/c-65/_items/1/_graphic/alt/,Placeholder graphic.
components/c-65/_items/2/text/,This is the same Option 3
